fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
53,51451001,Construcciones y Edificaciones,51451001,CONSTRUCCIONES Y EDIFICACIONES,53|51451001|CONSTRUCCIONES Y EDIFICACIONES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$123,='[10]Hoja 1'!$C$126,NO,1
54,51451501,Maquinaria y Equipo,51451501,MAQUINARIA Y EQUIPO,54|51451501|MAQUINARIA Y EQUIPO,detalle_con_codigo,blank,formula,,='[10]Hoja 1'!$C$128-318000+'[10]Hoja 1'!$C$129,SI,2
55,,Equipo de Oficina,,EQUIPO DE OFICINA,55||EQUIPO DE OFICINA,detalle_sin_codigo_o_titulo,blank,blank,,,,
56,51451001 - 51451501,Planta Plan Basico de Saneamiento,51451001 - 51451501,PLANTA PLAN BASICO DE SANEAMIENTO,56|51451001 - 51451501|PLANTA PLAN BASICO DE SANEAMIENTO,detalle_con_codigo,formula,value,='[9]Hoja 1'!$C$158,,NO,1
57,51452501,Equipo de Computacion y Comunic,51452501,EQUIPO DE COMPUTACION Y COMUNIC,57|51452501|EQUIPO DE COMPUTACION Y COMUNIC,detalle_con_codigo,formula,blank,='[9]Hoja 1'!$C$127,,NO,1
58,51451501,Plan SST,51451501,PLAN SST,58|51451501|PLAN SST,detalle_con_codigo,formula,blank,='[9]Hoja 1'!$C$125,,SI,2
59,,ADECUACIONES E INSTALACIONES,,ADECUACIONES E INSTALACIONES,59||ADECUACIONES E INSTALACIONES,subtotal_o_total,formula,formula,=SUM(C60:C61),=SUM(D60:D61),,
60,,Inversion infraestructura,,INVERSION INFRAESTRUCTURA,60||INVERSION INFRAESTRUCTURA,detalle_sin_codigo_o_titulo,blank,blank,,,,
61,,Reparaciones Locativas,,REPARACIONES LOCATIVAS,61||REPARACIONES LOCATIVAS,detalle_sin_codigo_o_titulo,blank,blank,,,,
62,,GASTOS DE VIAJE,,GASTOS DE VIAJE,62||GASTOS DE VIAJE,subtotal_o_total,formula,formula,=SUM(C63:C65),=SUM(D63:D65),,
63,51550501,Alojamiento y Manutencion,51550501,ALOJAMIENTO Y MANUTENCION,63|51550501|ALOJAMIENTO Y MANUTENCION,detalle_con_codigo,blank,blank,,,NO,1
64,51551501,Pasajes Aereos,51551501,PASAJES AEREOS,64|51551501|PASAJES AEREOS,detalle_con_codigo,blank,blank,,,NO,1
65,,Pasajes Terrestres,,PASAJES TERRESTRES,65||PASAJES TERRESTRES,detalle_sin_codigo_o_titulo,blank,blank,,,,
66,,DIVERSOS,,DIVERSOS,66||DIVERSOS,subtotal_o_total,formula,formula,=SUM(C67:C88),=SUM(D67:D88),,
67,51951001,"Libros, suscripciones, period",51951001,"LIBROS, SUSCRIPCIONES, PERIOD","67|51951001|LIBROS, SUSCRIPCIONES, PERIOD",detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$133,='[10]Hoja 1'!$C$135,NO,1
68,,Seguros Funerarios,,SEGUROS FUNERARIOS,68||SEGUROS FUNERARIOS,detalle_sin_codigo_o_titulo,blank,blank,,,,
69,51952501,Elementos de Aseo y Cafeteria,51952501,ELEMENTOS DE ASEO Y CAFETERIA,69|51952501|ELEMENTOS DE ASEO Y CAFETERIA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$135,='[10]Hoja 1'!$C$137,NO,1
70,51953001,Papeleria,51953001,PAPELERIA,70|51953001|PAPELERIA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$137+'[9]Hoja 1'!$C$402,='[10]Hoja 1'!$C$139,NO,1
71,51953002,Fotocopias,51953002,FOTOCOPIAS,71|51953002|FOTOCOPIAS,detalle_con_codigo,blank,blank,,,NO,1
72,51953501,Combustible y Lubricantes,51953501,COMBUSTIBLE Y LUBRICANTES,72|51953501|COMBUSTIBLE Y LUBRICANTES,detalle_con_codigo,value,value,,,NO,1
73,51954001 - '71100501,Envases y Empaques,51954001 - '71100501,ENVASES Y EMPAQUES,73|51954001 - '71100501|ENVASES Y EMPAQUES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$141,='[10]Hoja 1'!$C$143,NO,1
74,51954501,Taxis y Buses,51954501,TAXIS Y BUSES,74|51954501|TAXIS Y BUSES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$143,='[10]Hoja 1'!$C$145,NO,1
75,51956001,Casino y Restaurante (Refrigerios),51956001,CASINO Y RESTAURANTE (REFRIGERIOS),75|51956001|CASINO Y RESTAURANTE (REFRIGERIOS),detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$145,='[10]Hoja 1'!$C$147,NO,1
76,51956501,Parqueaderos,51956501,PARQUEADEROS,76|51956501|PARQUEADEROS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$148,='[10]Hoja 1'!$C$150,NO,1
77,51956601,Peajes,51956601,PEAJES,77|51956601|PEAJES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$150,='[10]Hoja 1'!$C$152,NO,1
78,51959501,Otros,51959501,OTROS,78|51959501|OTROS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$152,='[10]Hoja 1'!$C$154,NO,1
79,51959502,Compra Equipos de Oficina,51959502,COMPRA EQUIPOS DE OFICINA,79|51959502|COMPRA EQUIPOS DE OFICINA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$153,='[10]Hoja 1'!$C$155,NO,1
80,51959503,Compra Suministros,51959503,COMPRA SUMINISTROS,80|51959503|COMPRA SUMINISTROS,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$154,='[10]Hoja 1'!$C$156,NO,1
81,51959510,Herramientas y articulos ferreteria,51959510,HERRAMIENTAS Y ARTICULOS FERRETERIA,81|51959510|HERRAMIENTAS Y ARTICULOS FERRETERIA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$156,='[10]Hoja 1'!$C$159,NO,1
82,51959512,Reuniones Fiestas y Detalles,51959512,REUNIONES FIESTAS Y DETALLES,82|51959512|REUNIONES FIESTAS Y DETALLES,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$157,='[10]Hoja 1'!$C$160,NO,1
83,51959514,Equipos de Bodega,51959514,EQUIPOS DE BODEGA,83|51959514|EQUIPOS DE BODEGA,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$159,='[10]Hoja 1'!$C$161,NO,1
